ID,Title,Priority,Component,Type,Estimate,Phase,Description,Acceptance
OPS-001,Canal distribution Chrome (CWS unlisted ou MDM),P0,ops;docs,chore,M,A-Ship,"Publier extension CWS unlisted ou runbook MDM force-install validé. Artefacts pnpm store:chrome.","[ ] Package validé [ ] Listing review OU MDM testé 1 poste [ ] Doc PUBLICATION-STORES à jour"
OPS-002,Pilote client checklist DEPLOIEMENT §11,P0,ops;docs,chore,L,A-Ship,"Pilote réel control plane + enroll + 5-20 postes + 2 semaines events.","[ ] Org pilote [ ] ≥10 events réels [ ] FPs listés [ ] Compte-rendu 1 page"
OPS-003,Licence production Stripe live OU vendor,P0,ops;api,chore,S-M,A-Ship,"Brancher Stripe live+webhook OU industrialiser licence vendor.","[ ] Chemin licence E2E hors lab [ ] Runbook support 15 min [ ] Erreurs claires console"
EXT-001,Fiabiliser file events MV3 (pas de perte silencieuse),P0,extension;api,bug,M,A-Ship,"Queue locale + flush wakeup + retry backoff + log dropped.","[ ] Kill SW pendant flush → rejeu [ ] lastEventError / journal échecs [ ] CHANGELOG"
ENG-001,Bouton console Aligner pack org sur engine,P0,api;console;engine,feature,S,A-Ship,"Publish pack depuis @opsgate/engine + activate + epoch.","[ ] 1 clic → pack IBAN/checksum à jour [ ] audit pack_publish [ ] versions sans collision"
DOC-001,Kit premier client 30 min pilote,P0,docs,chore,S,A-Ship,"Guide install smoke : API PG console enroll 3 prompts events PDF.","[ ] MD lié DEPLOIEMENT [ ] Commandes exactes [ ] Critères go/no-go"
API-001,Endpoint summary/lite dashboard,P1,api;console,feature,M,B-Preuve,"GET /v1/org/summary/lite sans purge ni licence-per-agent.","[ ] P95 <300ms demo [ ] UI OK [ ] full summary pour drill-down"
API-002,Meta prompt_risk_score sur events,P1,api;extension;engine,feature,M,B-Preuve,"Champs optionnels prompt_risk_score/level dans batch events.","[ ] Acceptés API [ ] Colonne Events optionnelle [ ] Rétrocompat"
API-003,Alertes risk score au-dessus seuil,P1,api;console,feature,M,B-Preuve,"Job: score>=seuil → notif canaux org (email/Telegram/Slack).","[ ] Seuil config [ ] Dédup [ ] audit risk_alert [ ] Doc GUIDE"
CON-001,Export CSV Risk users,P1,console;api,feature,S,B-Preuve,"Export agent score trend events_count last_event.","[ ] CSV 7/30/90j [ ] Respect min_score"
CON-002,Health strip Santé org dashboard,P1,console,feature,S,B-Preuve,"Bandeau: rewrite% send_anyway shadow unauth proxy mode unlicensed.","[ ] Visible sans scroll [ ] Liens Risk Shadow Events Agents"
CON-003,Weekly export attache Security PDF,P1,api;console,feature,M,B-Preuve,"Option scheduled export: joindre PDF security-report semaine.","[ ] Toggle Rapports [ ] PDF généré [ ] Limite taille mail"
EXT-002,i18n options popup EN complet,P1,extension,feature,S,B-Preuve,"Étendre i18n-agent à options.tsx et popup.","[ ] EN si agent_ui_lang=en [ ] FR défaut OK"
ENG-002,Tuning FPs post-pilote batch tests,P1,engine,bug,M,B-Preuve,"Chaque FP → cas test-detection.mjs + fix règle.","[ ] ≥5 FP documentés tests verts [ ] Pack republish"
PRX-001,Proxy health version MSI mode effectif,P1,proxy;api;console,feature,M,B-Preuve,"Remonter app_version mode effectif epoch; widget affiche versions.","[ ] Liste proxy version+mode [ ] PROXY-RUNBOOK à jour"
PRX-002,Timeline observe vs block 7-14j,P1,console;api,feature,S-M,B-Preuve,"Série temporelle events source=proxy par décision.","[ ] Graph ou table jour×observe/block"
DOC-002,Threat model 2 pages livrable client,P1,docs,chore,S,B-Preuve,"docs/THREAT-MODEL.md extrait FAQ due diligence.","[ ] MD FR [ ] EN résumé [ ] Lié STATUS FAQ"
DOC-003,DPIA template client FR EN,P1,docs,chore,S,B-Preuve,"Template DPIA pré-rempli minimisation metadata_only.","[ ] Fichier RFP [ ] Cohérent PRIVACY"
SEC-001,AppSec baseline SAST deps pen-test light,P1,ops;api;extension,security,M,B-Preuve,"CI audit deps; checklist pen-test 1j auth RLS pack events.","[ ] CI critical deps [ ] Rapport pen-test 1 page"
TST-001,Smoke e2e automate enroll detect event,P1,extension;api;console,chore,M,B-Preuve,"e2e-pilot: enroll IBAN detect batch GET events.","[ ] pnpm e2e vert [ ] Doc GUIDE-TEST"
CON-004,RBAC Viewer SOC Policy-admin,P2,api;console,feature,L,C-Scale,"Rôles Viewer SOC Policy Admin full.","[ ] Enforce API [ ] UI masque actions"
CON-005,MSP table comparative risk rewrite unlicensed,P2,console;api,feature,M,C-Scale,"Colonnes risk moyen rewrite% unlicensed shadow.","[ ] Table triable [ ] ≤50 orgs OK"
API-004,Persist job user_risk_scores cache,P2,api,feature,M,C-Scale,"Cron cache scores table; risk endpoints lisent cache.","[ ] Job + fallback live"
API-005,Grafana panels Risk Shadow Rewrite,P2,ops;api,feature,S,C-Scale,"Étendre opsgate-dashboard.json series decisions.","[ ] Import Grafana [ ] Metrics exposées"
EXT-003,Secure Rewrite extraits fichiers Office,P2,extension;engine,feature,L,C-Scale,"Rewrite texte extrait PDF/DOCX avant join.","[ ] Decision file secure_rewrite [ ] Limites doc"
ENG-003,AI Trust Score par hostname modèle,P2,engine;api;console,feature,L,C-Scale,"Agréger risk/usage par outil IA si volume pilote.","[ ] Spec 1p [ ] API + mini UI"
PRX-003,Allowlist hosts proxy éditable console,P2,proxy;api;console,feature,M,C-Scale,"Visualiser hosts effectifs + override org.","[ ] Liste puis override [ ] Sync proxy"
DOC-004,Case study anonyme post-pilote,P2,docs,chore,S,C-Scale,"1-2 pages metrics rewrite shadow leçons.","[ ] Publiable démo décideurs"
